,Value of dwelling stock; Owned by Households ;  New South Wales ;,Value of dwelling stock; Owned by Households ;  Victoria ;,Value of dwelling stock; Owned by Households ;  Queensland ;,Value of dwelling stock; Owned by Households ;  South Australia ;,Value of dwelling stock; Owned by Households ;  Western Australia ;,Value of dwelling stock; Owned by Households ;  Tasmania ;,Value of dwelling stock; Owned by Households ;  Northern Territory ;,Value of dwelling stock; Owned by Households ;  Australian Capital Territory ;,Value of dwelling stock; Owned by Households ;  Australia ;,Value of dwelling stock; Owned by Non-Households ;  New South Wales ;,Value of dwelling stock; Owned by Non-Households ;  Victoria ;,Value of dwelling stock; Owned by Non-Households ;  Queensland ;,Value of dwelling stock; Owned by Non-Households ;  South Australia ;,Value of dwelling stock; Owned by Non-Households ;  Western Australia ;,Value of dwelling stock; Owned by Non-Households ;  Tasmania ;,Value of dwelling stock; Owned by Non-Households ;  Northern Territory ;,Value of dwelling stock; Owned by Non-Households ;  Australian Capital Territory ;,Value of dwelling stock; Owned by Non-Households ;  Australia ;,Value of dwelling stock; Owned by All Sectors ;  New South Wales ;,Value of dwelling stock; Owned by All Sectors ;  Victoria ;,Value of dwelling stock; Owned by All Sectors ;  Queensland ;,Value of dwelling stock; Owned by All Sectors ;  South Australia ;,Value of dwelling stock; Owned by All Sectors ;  Western Australia ;,Value of dwelling stock; Owned by All Sectors ;  Tasmania ;,Value of dwelling stock; Owned by All Sectors ;  Northern Territory ;,Value of dwelling stock; Owned by All Sectors ;  Australian Capital Territory ;,Value of dwelling stock; Owned by All Sectors ;  Australia ;,Mean price of residential dwellings ;  New South Wales ;,Mean price of residential dwellings ;  Victoria ;,Mean price of residential dwellings ;  Queensland ;,Mean price of residential dwellings ;  South Australia ;,Mean price of residential dwellings ;  Western Australia ;,Mean price of residential dwellings ;  Tasmania ;,Mean price of residential dwellings ;  Northern Territory ;,Mean price of residential dwellings ;  Australian Capital Territory ;,Mean price of residential dwellings ;  Australia ;,Number of residential dwellings ;  New South Wales ;,Number of residential dwellings ;  Victoria ;,Number of residential dwellings ;  Queensland ;,Number of residential dwellings ;  South Australia ;,Number of residential dwellings ;  Western Australia ;,Number of residential dwellings ;  Tasmania ;,Number of residential dwellings ;  Northern Territory ;,Number of residential dwellings ;  Australian Capital Territory ;,Number of residential dwellings ;  Australia ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,000,000,000,000,000,000,000,000,000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011
Series End,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021
No. Obs,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Series ID,A83728603C,A83728608R,A83728613J,A83728618V,A83728623L,A83728628X,A83728633T,A83728638C,A83728643W,A83728604F,A83728609T,A83728614K,A83728619W,A83728624R,A83728629A,A83728634V,A83728639F,A83728644X,A83728606K,A83728611C,A83728616R,A83728621J,A83728626V,A83728631L,A83728636X,A83728641T,A83728646C,A83728607L,A83728612F,A83728617T,A83728622K,A83728627W,A83728632R,A83728637A,A83728642V,A83728647F,A83728605J,A83728610A,A83728615L,A83728620F,A83728625T,A83728630K,A83728635W,A83728640R,A83728645A
Sep-2011,1453495.0,1121374.8,723858.5,253939.4,464342.1,65479.7,30196.1,72384.2,4185069.8,81724.2,39994.5,41332.9,20465.6,30010.2,4835.5,8491.3,6930.0,233784.2,1535219.2,1161369.3,765191.3,274405.0,494352.4,70315.2,38687.4,79314.2,4418854.0,540.8,512.6,428.8,379.9,524.8,305.1,522.7,547.5,490.8,2839.0,2265.6,1784.5,722.3,942.0,230.5,74.0,144.9,9002.7
Dec-2011,1442134.3,1114587.1,721480.1,257468.3,463152.5,66647.4,27445.0,74701.4,4167616.1,80951.0,39702.2,41259.4,20956.0,30183.9,4972.1,7694.2,7193.2,232911.9,1523085.2,1154289.4,762739.5,278424.3,493336.4,71619.5,35139.3,81894.6,4400528.1,535.3,506.6,425.7,384.3,521.4,310.0,472.5,561.5,486.9,2845.1,2278.3,1791.7,724.6,946.3,231.1,74.4,145.8,9037.2
Mar-2012,1476077.7,1104613.8,717810.5,253614.0,474579.7,65710.3,26899.0,73903.0,4193208.0,83283.6,39263.9,40876.1,20520.8,31311.8,4870.0,7783.1,7030.4,234939.6,1559361.3,1143877.6,758686.5,274134.8,505891.6,70580.3,34682.1,80933.4,4428147.6,547.1,500.0,422.4,377.4,532.4,304.7,464.6,553.0,488.6,2850.3,2287.7,1796.2,726.3,950.2,231.6,74.7,146.4,9063.4
Jun-2012,1492911.0,1110654.2,722320.4,254790.2,475476.2,63755.8,26825.8,74278.5,4221012.0,84369.7,39376.6,41137.4,20621.6,31021.0,4770.4,7536.0,7143.9,235976.8,1577280.7,1150030.9,763457.8,275411.8,506497.2,68526.2,34361.8,81422.5,4456988.8,552.2,500.2,423.2,378.1,530.4,295.2,457.3,552.2,489.9,2856.3,2299.2,1803.9,728.5,954.9,232.1,75.1,147.5,9097.6
Sep-2012,1476006.3,1097055.5,730611.1,254105.2,484668.0,63024.1,27295.7,73549.6,4206315.6,82666.9,38713.1,41233.9,20132.1,31239.8,4687.3,7891.6,6957.2,233521.9,1558673.2,1135768.6,771845.0,274237.4,515907.8,67711.4,35187.4,80506.8,4439837.5,544.5,491.7,426.1,375.5,537.7,291.1,466.2,542.7,486.3,2862.8,2309.8,1811.2,730.4,959.5,232.6,75.5,148.3,9130.2
Dec-2012,1528154.7,1125573.0,734111.2,254907.5,498679.7,64669.4,29732.6,77118.7,4312946.9,85460.9,39162.0,41040.8,20109.4,31452.9,4789.0,8319.6,7235.7,237570.3,1613615.6,1164735.0,775152.0,275016.8,530132.6,69458.4,38052.3,84354.4,4550517.2,562.0,501.7,426.1,375.6,550.3,297.8,501.2,564.1,496.4,2871.2,2321.6,1819.0,732.2,963.4,233.3,75.9,149.5,9166.1
Mar-2013,1552038.1,1142076.2,737423.5,258308.7,510214.1,63843.4,29257.8,75045.7,4368207.4,86096.9,39572.3,41296.8,20257.2,32092.5,4807.8,8028.1,6992.2,239143.7,1638135.0,1181648.5,778720.2,278566.0,542306.6,68651.1,37286.0,82037.8,4607351.1,569.3,506.8,427.0,379.7,560.9,293.7,488.6,543.8,501.1,2877.3,2331.5,1823.7,733.6,966.8,233.7,76.3,150.9,9193.9
Jun-2013,1585437.9,1158047.0,747864.7,259017.6,524000.1,64969.1,29628.8,78476.8,4447442.1,87610.5,39756.5,41439.7,20016.4,32040.9,4689.4,8053.5,7211.3,240818.2,1673048.4,1197803.5,789304.4,279034.1,556041.0,69658.4,37682.3,85688.1,4688260.2,580.0,511.4,431.0,379.4,572.7,297.6,492.2,564.5,508.1,2884.7,2342.0,1831.5,735.4,970.9,234.1,76.6,151.8,9226.9
Sep-2013,1628519.9,1191081.2,749899.0,262555.2,526132.4,65125.3,30376.5,77161.9,4530851.3,89639.5,40337.2,41158.3,20193.9,32310.7,4656.5,7938.1,7051.5,243285.8,1718159.4,1231418.4,791057.3,282749.1,558443.0,69781.8,38314.6,84213.4,4774137.0,594.0,523.3,430.3,383.5,572.4,297.5,498.3,550.2,515.5,2892.6,2353.0,1838.5,737.3,975.6,234.5,76.9,153.1,9261.4
Dec-2013,1707531.6,1231196.5,769482.7,272773.3,542841.5,67191.1,31864.4,80854.7,4703735.9,93125.7,41172.9,41871.4,20514.1,32358.2,4831.4,8581.9,7325.8,249781.4,1800657.2,1272369.4,811354.1,293287.4,575199.8,72022.5,40446.3,88180.4,4953517.2,620.6,538.1,439.5,396.8,586.0,306.6,521.9,573.0,532.7,2901.6,2364.5,1846.3,739.2,981.5,234.9,77.5,153.9,9299.4
Mar-2014,1741296.3,1250934.3,784432.5,277542.8,546309.1,67466.8,31656.9,80024.0,4779662.6,94576.0,41523.4,42323.3,20782.3,32256.2,4806.6,8501.3,7158.8,251928.0,1835872.3,1292457.7,826755.8,298325.1,578565.3,72273.4,40158.2,87182.8,5031590.7,631.2,544.5,446.4,402.7,586.9,307.1,515.3,563.0,539.3,2908.6,2373.7,1852.1,740.8,985.8,235.3,77.9,154.9,9329.1
Jun-2014,1799223.8,1263274.7,795822.5,278665.4,555342.1,67679.3,32613.6,81258.7,4873880.1,96733.0,41322.7,42646.7,20603.0,32415.9,4918.2,8655.5,7221.1,254516.1,1895956.9,1304597.4,838469.3,299268.4,587758.0,72597.4,41269.0,88479.8,5128396.2,649.9,546.9,451.0,402.9,592.3,307.9,524.4,568.4,547.5,2917.1,2385.2,1859.3,742.7,992.3,235.8,78.7,155.7,9366.8
Sep-2014,1853723.6,1280297.5,806998.7,279057.2,552819.3,68599.1,31188.4,81840.7,4954524.5,99356.5,41728.1,42997.7,20456.0,32044.1,4797.5,8613.9,7181.5,257175.3,1953080.1,1322025.6,849996.4,299513.2,584863.4,73396.6,39802.3,89022.3,5211699.8,666.5,550.9,454.5,402.0,585.5,310.8,501.6,569.9,553.5,2930.5,2399.8,1870.3,745.0,999.0,236.1,79.4,156.2,9416.3
Dec-2014,1938962.8,1326304.0,822976.1,287533.0,559550.4,68600.8,32815.4,84629.4,5121371.9,102957.7,43131.2,43487.8,20625.4,32070.2,4720.6,8607.8,7382.2,262982.9,2041920.5,1369435.2,866463.9,308158.4,591620.6,73321.4,41423.3,92011.6,5384354.8,693.5,566.9,461.0,412.5,588.2,309.9,517.0,582.6,568.7,2944.3,2415.8,1879.5,747.1,1005.7,236.6,80.1,157.9,9467.2
Mar-2015,2016629.4,1368593.4,828755.8,289528.0,553848.0,69340.8,31102.8,85723.8,5243522.0,106231.1,43777.7,43381.4,20832.2,31479.3,4803.3,8109.4,7396.5,266011.0,2122860.4,1412371.1,872137.2,310360.2,585327.3,74144.1,39212.2,93120.4,5509533.0,718.2,581.5,461.6,414.4,578.4,312.7,486.8,586.9,579.3,2955.7,2429.0,1889.3,749.0,1011.9,237.1,80.5,158.7,9511.3
Jun-2015,2146492.3,1436824.9,845193.3,289484.0,556033.5,71382.9,31910.3,87144.8,5464466.0,112073.8,45170.4,44063.5,20569.5,31268.2,4947.2,8402.8,7443.5,273939.0,2258566.1,1481995.3,889256.8,310053.6,587301.8,76330.1,40313.1,94588.3,5738405.0,760.9,606.5,467.9,412.7,576.0,321.2,498.6,591.3,600.1,2968.2,2443.7,1900.7,751.3,1019.7,237.6,80.9,160.0,9562.1
Sep-2015,2234562.8,1470622.2,858291.2,294526.6,544583.3,71515.5,33921.4,88051.7,5596074.7,116068.9,45682.9,44318.2,20550.1,30539.6,4985.4,8536.6,7383.8,278065.4,2350631.7,1516305.1,902609.4,315076.7,575122.8,76500.8,42458.0,95435.5,5874140.1,788.1,616.5,472.6,418.2,559.6,321.3,522.2,593.6,611.0,2982.8,2459.6,1909.9,753.3,1027.8,238.1,81.3,160.8,9613.6
Dec-2015,2228708.1,1496241.2,876355.2,298277.6,542468.8,73556.5,31553.8,91213.1,5638374.2,115607.2,46139.6,44893.4,20610.1,30076.8,4911.1,7987.5,7630.1,277855.8,2344315.3,1542380.7,921248.6,318887.7,572545.6,78467.6,39541.2,98843.3,5916230.0,781.8,622.8,478.9,421.9,552.1,328.5,483.3,611.8,611.6,2998.5,2476.6,1923.5,755.8,1037.0,238.9,81.8,161.6,9673.7
Mar-2016,2230779.5,1509833.3,871376.3,301678.6,536216.7,72325.4,31661.8,89229.4,5643101.0,115329.1,46193.6,44222.2,20541.7,29559.9,4803.0,8551.9,7372.0,276573.4,2346108.7,1556026.9,915598.5,322220.3,565776.5,77128.4,40213.7,96601.4,5919674.3,779.3,625.4,473.7,425.4,542.3,322.3,489.8,595.6,609.3,3010.4,2488.0,1933.0,757.5,1043.3,239.3,82.1,162.2,9715.7
Jun-2016,2309797.2,1543407.1,891910.0,301541.4,530139.7,75144.6,31150.0,92076.0,5775165.9,118592.4,46945.3,44835.7,20198.4,28570.5,4970.6,8614.6,7536.9,280264.4,2428389.6,1590352.3,936745.7,321739.8,558710.3,80115.2,39764.6,99612.9,6055430.4,802.0,634.7,481.7,423.7,531.3,334.1,482.0,611.3,619.5,3028.0,2505.8,1944.6,759.4,1051.5,239.8,82.5,163.0,9774.5
Sep-2016,2385952.9,1582786.2,900032.0,302755.1,524234.8,76291.5,30808.5,92564.9,5895425.8,121896.1,47533.7,44923.2,20308.3,28261.5,5015.8,7777.2,7577.3,283293.1,2507849.0,1630319.9,944955.3,323063.3,552496.2,81307.2,38585.8,100142.2,6178718.9,823.7,646.7,482.7,424.4,522.2,338.5,466.5,611.8,628.6,3044.5,2521.0,1957.8,761.3,1058.0,240.2,82.7,163.7,9829.1
Dec-2016,2500698.0,1661587.5,924852.9,310234.6,543264.9,79228.3,29957.9,97921.9,6147746.1,126786.9,49413.2,45947.0,20743.8,29448.7,5145.1,8049.5,7944.1,293478.4,2627484.9,1711000.8,970800.0,330978.4,572713.6,84373.4,38007.4,105866.0,6441224.4,858.7,674.2,492.5,433.6,538.3,350.5,457.6,641.9,651.6,3060.0,2537.9,1971.0,763.4,1063.9,240.7,83.1,164.9,9884.8
Mar-2017,2590432.4,1723554.2,932022.7,315241.4,531813.8,80596.1,29966.9,98771.7,6302399.2,131337.3,50544.1,46228.9,20861.2,29037.1,5262.0,8012.7,7989.1,299272.5,2721769.7,1774098.3,978251.6,336102.6,560850.9,85858.1,37979.6,106760.9,6601671.7,885.8,695.6,494.0,439.2,525.0,356.0,455.2,644.5,665.0,3072.6,2550.5,1980.2,765.3,1068.3,241.1,83.4,165.7,9927.2
Jun-2017,2664000.2,1803221.9,942192.5,314747.3,530040.8,81983.6,29937.1,100202.6,6466326.2,134625.0,53268.2,46581.4,20896.1,28222.7,5292.0,8026.1,8105.9,305017.3,2798625.2,1856490.1,988773.9,335643.4,558263.5,87275.6,37963.2,108308.5,6771343.5,906.9,723.8,496.3,437.6,520.4,361.4,454.0,649.8,678.8,3086.0,2565.0,1992.2,767.0,1072.8,241.5,83.6,166.7,9974.8
Sep-2017,2649161.0,1799526.5,958164.0,319267.0,532620.1,85105.1,29676.3,100496.1,6474016.2,133790.9,52538.1,47228.2,20998.8,28819.2,5581.0,8254.7,8120.8,305331.6,2782951.9,1852064.6,1005392.2,340265.8,561439.3,90686.1,37931.0,108616.9,6779347.8,897.9,717.6,502.0,442.5,521.2,374.7,452.6,646.9,676.4,3099.4,2580.8,2002.6,768.9,1077.2,242.0,83.8,167.9,10022.7
Dec-2017,2687333.5,1883283.4,972979.2,325398.7,544144.9,87541.6,29450.9,104728.2,6634860.5,135662.7,55176.1,47893.6,21541.9,29298.3,5718.5,7626.6,8451.1,311368.8,2822996.3,1938459.4,1020872.9,346940.6,573443.3,93260.1,37077.5,113179.3,6946229.3,906.7,746.9,506.5,449.8,530.5,384.5,441.1,670.1,689.7,3113.4,2595.2,2015.6,771.3,1080.9,242.5,84.1,168.9,10071.8
Mar-2018,2677793.6,1882921.9,982835.2,328174.4,545982.2,90952.5,29957.7,105948.8,6644566.2,136450.6,54864.9,48257.1,21698.3,29109.6,5922.7,7860.9,8515.7,312679.9,2814244.2,1937786.8,1031092.3,349872.7,575091.8,96875.2,37818.6,114464.6,6957246.1,899.8,743.7,509.5,452.6,530.2,398.7,449.1,674.1,688.0,3127.7,2605.6,2023.6,773.1,1084.7,243.0,84.2,169.8,10111.7
Jun-2018,2650287.1,1878860.3,992105.3,326481.0,533777.6,91825.3,29427.0,107350.7,6610114.3,134294.9,55254.5,48722.4,21810.8,28336.6,5990.7,7821.9,8632.1,310864.0,2784582.0,1934114.9,1040827.8,348291.8,562114.1,97816.1,37248.9,115982.7,6920978.3,886.1,737.7,511.5,449.3,516.3,401.7,441.3,679.9,681.1,3142.4,2621.7,2034.7,775.3,1088.8,243.5,84.4,170.6,10161.4
Sep-2018,2610577.0,1837547.1,1006903.3,329228.7,536969.2,94123.9,27879.4,106906.6,6550135.3,133882.3,54067.1,49408.6,21897.5,28444.2,6163.2,7402.4,8664.7,309930.0,2744459.4,1891614.2,1056311.9,351126.1,565413.5,100287.2,35281.8,115571.3,6860065.3,868.5,717.4,516.0,451.7,517.6,410.7,417.1,674.4,671.7,3159.9,2636.7,2047.1,777.4,1092.4,244.2,84.6,171.4,10213.6
Dec-2018,2555303.6,1824128.4,1000569.2,335972.2,530764.7,95733.1,29601.5,108046.4,6480119.1,130993.4,54301.6,49164.8,22625.6,28555.0,6148.6,8341.7,8721.5,308852.2,2686297.1,1878430.0,1049734.1,358597.8,559319.6,101881.7,37943.2,116767.9,6788971.4,845.3,708.6,510.3,459.5,510.2,416.1,447.3,678.3,661.4,3178.0,2650.8,2057.1,780.4,1096.3,244.8,84.8,172.1,10264.4
Mar-2019,2504749.5,1766029.1,986238.0,335884.6,528043.3,94854.8,28670.0,107719.9,6352189.2,129682.3,52350.9,48426.9,22238.6,28268.9,6093.0,8093.9,8697.3,303851.9,2634431.8,1818380.0,1034665.0,358123.2,556312.2,100947.8,36763.9,116417.3,6656041.1,825.7,683.0,501.0,457.8,506.0,411.5,431.5,670.9,646.0,3190.6,2662.2,2065.1,782.3,1099.4,245.3,85.2,173.5,10303.8
Jun-2019,2524177.5,1795132.9,1000736.4,334262.8,524148.0,97776.9,29081.8,108063.8,6413380.2,129869.6,54098.1,49425.6,22372.8,27875.5,6326.7,8436.1,8700.0,307104.4,2654047.1,1849231.0,1050162.0,356635.6,552023.5,104103.5,37517.9,116763.9,6720484.5,827.5,690.9,506.7,454.5,500.4,423.2,439.7,668.5,649.3,3207.2,2676.6,2072.6,784.6,1103.3,246.0,85.3,174.7,10350.2
Sep-2019,2645184.7,1869370.4,1020668.2,333666.6,528124.5,98120.4,28926.3,109297.5,6633358.6,136894.8,55607.8,50202.7,22381.6,29088.0,6353.8,8626.3,8856.4,318011.3,2782079.5,1924978.2,1070870.9,356048.2,557212.5,104474.2,37552.6,118153.9,6951369.8,863.8,715.5,514.1,452.8,503.8,423.7,439.3,673.7,668.8,3220.6,2690.4,2083.1,786.3,1106.1,246.6,85.5,175.4,10393.9
Dec-2019,2721441.0,1968554.6,1037545.3,347601.2,525996.3,103045.2,27596.4,115671.4,6847451.4,138250.8,58985.7,51008.4,23298.5,28100.9,6737.1,7665.4,9334.1,323380.9,2859691.7,2027540.3,1088553.8,370899.7,554097.2,109782.3,35261.8,125005.4,7170832.2,883.7,749.1,520.6,470.6,499.3,444.1,411.9,707.0,686.8,3236.1,2706.7,2091.0,788.1,1109.8,247.2,85.6,176.8,10441.4
Mar-2020,2766544.7,2008574.3,1049595.8,344736.8,529575.8,106974.4,27911.1,115731.7,6949644.6,141417.7,60135.8,51659.2,22847.8,28310.7,6993.7,7734.0,9329.1,328428.1,2907962.4,2068710.1,1101255.0,367584.6,557886.5,113968.1,35645.1,125060.8,7278072.7,895.8,761.2,524.9,465.3,501.3,460.1,415.9,701.1,694.7,3246.3,2717.6,2098.0,789.9,1112.9,247.7,85.7,178.4,10476.6
Jun-2020,2753285.9,1985268.6,1053594.1,347017.4,528848.9,107377.6,28190.2,118841.3,6922424.0,140859.5,59829.0,51818.9,23016.7,28114.3,6971.5,8439.2,9620.1,328669.3,2894145.4,2045097.6,1105413.1,370034.1,556963.2,114349.1,36629.4,128461.4,7251093.3,888.0,748.6,524.8,467.4,499.1,460.3,426.8,717.9,689.4,3259.3,2732.0,2106.3,791.7,1115.8,248.4,85.8,178.9,10518.3
Sep-2020,2851877.9,2028903.3,1094121.9,359016.4,556394.0,108071.7,28204.7,122489.2,7149079.1,144866.9,60899.1,53748.9,24222.1,29955.1,6937.1,7919.6,9903.3,338452.0,2996744.8,2089802.4,1147870.8,383238.5,586349.0,115008.9,36124.2,132392.5,7487531.1,916.0,761.3,543.1,482.7,524.1,461.7,420.2,736.2,709.2,3271.6,2745.1,2113.4,794.0,1118.7,249.1,86.0,179.8,10557.8
Dec-2020,2995002.4,2146190.5,1144363.2,376038.5,589947.4,117670.8,30471.2,129814.4,7529498.4,152431.8,64544.8,56257.1,25031.0,31636.3,7515.0,9045.8,10500.2,356962.2,3147434.2,2210735.3,1200620.3,401069.5,621583.7,125185.8,39517.1,140314.6,7886460.5,958.9,800.7,566.1,503.8,554.3,501.0,458.7,771.1,744.0,3282.3,2761.0,2120.7,796.2,1121.4,249.9,86.2,182.0,10599.6
Mar-2021,3186759.9,2275036.3,1214415.1,389961.5,623758.2,128607.7,30433.5,140289.6,7989261.9,158606.3,67423.9,59413.1,25535.4,33218.7,8188.2,8029.0,11237.0,371651.6,3345366.1,2342460.2,1273828.2,415496.9,656976.9,136796.0,38462.6,151526.6,8360913.5,1016.0,845.0,598.9,520.5,584.5,546.2,446.0,829.4,786.3,3292.8,2772.2,2127.1,798.3,1124.0,250.4,86.2,182.7,10633.7
Jun-2021,3329936.9,2418940.1,1312206.3,409635.4,628193.3,134717.6,31941.4,153108.4,8418679.4,165000.9,71133.4,63932.8,26432.2,33061.8,8685.8,8584.0,12261.1,389092.0,3494937.8,2490073.5,1376139.1,436067.6,661255.1,143403.5,40525.4,165369.5,8807771.4,1057.9,893.2,644.6,544.9,586.5,571.2,469.0,901.7,825.1,3303.8,2787.9,2134.8,800.3,1127.5,251.1,86.4,183.4,10675.2
Sep-2021,3660525.3,2505610.1,1396240.9,433926.7,640350.8,144262.6,32972.6,157674.1,8971563.1,182385.9,74007.2,68003.6,27704.2,34716.2,9274.8,8726.5,12552.9,417371.3,3842911.2,2579617.3,1464244.5,461630.9,675066.9,153537.4,41699.1,170227.0,9388934.3,1159.5,920.1,683.2,575.4,597.2,609.9,481.8,920.8,876.1,3314.3,2803.6,2143.2,802.3,1130.5,251.7,86.5,184.9,10717.1
Dec-2021,3823548.3,2616874.4,1537557.2,464459.5,662433.4,153859.1,33648.0,168719.0,9461099.0,190508.5,77293.6,74886.4,29653.6,35913.4,9891.8,8905.2,13432.2,440484.6,4014056.8,2694168.0,1612443.6,494113.1,698346.8,163750.9,42553.2,182151.2,9901583.6,1207.2,956.1,749.1,614.3,614.3,649.2,489.0,979.6,920.1,3325.2,2817.9,2152.5,804.3,1136.8,252.2,87.0,186.0,10761.9
